hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
0.16053283994490594,6.229187905313053e-05,0.00010817394570502309,6.665411239057782e-08,-1.7248914323418384e-13,-5.061757365333216e-10,-4.7759094105039103e-14,1
0.16104591595554418,0.000231482284917533,0.00010631035064471626,2.6037699350211986e-07,-8.501847112733649e-13,-2.6300317570333017e-09,1.0741677485951266e-12,1
0.1677786009785429,0.0003666500400660724,2.7580633698058713e-06,7.573115206649905e-08,1.3525471439874877e-14,5.424281206677313e-11,3.185878121943185e-14,2
0.16837842255103336,0.0005223359540284952,2.415135755168575e-05,6.268683022130851e-07,-5.319755478405819e-13,3.3253452649916854e-09,2.380412811100298e-12,2
0.1671300016586187,0.00014275543544575405,2.6076872338699467e-05,1.7490913543705517e-07,3.7178900737009954e-13,-1.1783191278095366e-09,-3.6208980005899435e-14,2
0.19297623447822626,0.0003697154249476359,0.004515268045944745,1.1616136569298603e-05,8.994385423940452e-10,7.583745331081071e-08,-2.5036628321428366e-09,3
0.1678736155270169,0.0003337258456487527,3.259389533166553e-05,7.344096446153116e-07,-8.066748059408834e-14,7.351202363513892e-09,-3.592247217665316e-12,2
0.19347817908935813,0.0004930909569911999,0.004561808181419637,1.6281267636333043e-05,3.767652214394866e-09,2.9933355083686726e-07,2.3436722793118935e-09,3
0.20437335515787386,0.004749150948575434,0.004956790527842788,0.0001238362285957587,-1.6787555415442408e-08,-2.7170203151504992e-06,-9.55589733507091e-08,3
0.16694551621237416,7.208889038499473e-05,1.6695712081142954e-05,2.8192450757466645e-07,5.994795891647321e-13,2.385749397274901e-09,-1.2139922689670727e-13,2
0.16330270108770217,0.0008389133530797879,0.00015504324895275175,1.1362337356896107e-06,-1.057350065776163e-11,-2.4614456566254298e-08,1.0753387880196459e-11,1
0.19258104873445764,0.00018122603666812374,0.004516617698345383,5.1789002582128776e-06,-5.41501270440983e-10,-5.0137845670470606e-08,-5.780567347787809e-10,3
0.16100516994771294,0.00014818353187161988,0.00013073062773471888,1.8540253350894793e-07,5.489956424708501e-13,8.125999527172786e-10,-7.292159994740525e-13,1
0.19320929147834567,0.0004269158742308592,0.004536845287979769,1.1836201459833753e-05,-2.718914155002558e-09,-2.4214490693736396e-07,-3.612547698612009e-10,3
0.19574889677651275,0.001252713551974132,0.004695897506166676,4.611679826313554e-05,2.1443855579889592e-08,1.6306448461815223e-06,-8.552718323845088e-10,3
0.16209084507034643,0.0007468406109248594,4.7498694434565974e-05,3.2206883740002527e-07,2.0334568092617905e-13,5.921254608065603e-10,1.243169733432402e-12,1
0.19245402694709707,0.000532551664052084,0.00436517896195924,1.74981940829145e-05,4.57349122747204e-09,3.793429927237968e-07,-1.5718037707167739e-09,3
0.19276630389520644,0.00039171577972230425,0.004472540183502559,1.3107298120391448e-05,2.8441446575133898e-09,2.279010557790298e-07,1.4079533021256345e-09,3
0.1666067149130408,4.930952662497899e-05,2.4191201542995844e-05,3.207211216423608e-07,5.328985876790009e-13,-6.889562938440287e-10,-7.169989646856734e-13,2
0.1675165535084548,6.728767895770773e-05,0.00011709931931145836,1.266366176151919e-06,-1.4131055090667348e-11,5.4316990069409696e-09,-6.174501376306545e-12,2
0.1597389685038308,6.165147537425421e-06,4.744739796152071e-05,4.9626658850175155e-09,-1.0155878961211267e-15,-4.508316381317814e-12,-2.1834926182677295e-15,1
0.1671908399913931,2.397691850235085e-05,0.0001568095993854084,1.3888784335299135e-06,-1.106219589440771e-11,5.9791022594007005e-09,-1.725514632450429e-11,2
0.1595500221371267,1.3705166548000392e-06,2.8400279699873125e-05,1.4463427238080636e-09,-1.9568953360300868e-16,1.6031330108124994e-12,2.1825195276817355e-16,1
0.1678065406093273,0.0003044883948930322,5.771567105495748e-05,3.44170696702956e-07,3.7494020586150757e-13,3.7240806957490465e-09,1.4874086861895414e-12,2
0.1672714183092905,0.00023455080425489574,8.578742792051932e-06,1.8076915031409124e-07,3.231900817734821e-14,-9.817411979056957e-10,2.2277974111730266e-13,2
0.16779694816757745,0.0001407892054101156,0.000128028532484532,2.287159556540564e-06,-2.566633201726452e-11,-8.752007994064533e-09,2.954688746336429e-11,2
0.16834011987128517,0.000571942257889394,4.955931533984089e-06,4.7416021765694606e-08,2.1331236282064147e-14,-3.1886884531499527e-10,-8.561700910955325e-15,2
0.1930197638600371,0.00031644422015853456,0.004542544576627401,8.805439563548122e-06,-1.5117927884499136e-09,-1.3482765570371292e-07,9.032405844276573e-10,3
0.16880885829343967,0.0006087600193312366,6.863664222299154e-05,2.146801748121485e-06,1.3508518757874582e-11,4.366004360876199e-08,-2.228490476749458e-11,2
0.160515107586864,8.861506436466379e-05,0.00010070282255269654,7.795418874937525e-08,-2.1804290123089234e-13,-7.237362563221061e-10,1.2722663150124088e-14,1
0.1675308640008588,0.0003148639358779021,3.585763291375664e-06,2.7176304171096217e-08,-6.132801437552066e-15,4.464930611232672e-10,5.8616517891056074e-15,2
0.16863493880223462,0.0006320980755545267,2.1421653137263234e-05,1.1531391050069464e-07,-8.500896690212442e-14,-2.61078366986394e-09,-1.6006453385231919e-13,2
0.20119452042765723,0.003459939923217125,0.004839863422594444,7.951533582145933e-05,-4.647917250616005e-08,-4.468689152257835e-06,-1.65206323745229e-08,3
0.1615955962311863,0.0006384395042322349,3.722813296071795e-05,2.0235355498402246e-07,-4.502744567559405e-13,-4.169377876719939e-09,-3.2514059493839697e-13,1
0.194372129313729,0.0010577245451123998,0.004512334610112461,3.517207616585577e-05,1.1635178237186841e-08,9.190838184362694e-07,7.807466664235923e-09,3
0.1687368104319177,0.0007008971833357054,3.3099117763535725e-06,8.059161668456865e-08,3.800034443279786e-14,1.933168038813051e-09,-1.6986017780686962e-14,2
0.19271157966283575,0.00011473371118219308,0.004564883929407579,3.420153112094415e-06,-4.1281819731121175e-10,-3.5629803420602954e-08,1.1049309922037283e-10,3
0.1611847885467662,0.0005488970188374308,1.977832671908875e-05,8.511224256666821e-08,-4.4530061047278765e-14,-1.007119833147553e-09,1.0105256048331541e-13,1
0.16087158615057734,0.00019309338298263001,0.00010642769377270379,2.1498065434122333e-07,-6.162692149658112e-13,-1.7403072307886526e-09,-8.231920138072791e-13,1
0.16023338330692885,5.351206163919392e-05,7.841426213713105e-05,3.3428611938240005e-08,-2.613759607073917e-14,-1.4836758860426397e-10,-4.739233334666099e-14,1
0.1608686365451094,1.5166643252277356e-05,0.00016075393633929456,8.41370492035257e-09,2.4142553504040482e-15,6.773192257657304e-12,9.482509683533875e-15,1
0.15989624885754117,0.00015053115939256346,1.3796502491985079e-05,2.873636363902293e-08,9.954619888031351e-15,1.423390038145434e-10,-1.510942780572586e-14,1
0.167753162458923,0.0003334289654973357,6.019675564678065e-06,2.9905661684842726e-08,-9.9053558594977e-15,5.454719763826362e-10,7.930112846590519e-15,2
0.19309078935306542,0.0003568656435754398,0.004543315166759299,1.1592408404372565e-05,1.5348819064280346e-09,1.1608557111473382e-07,-2.1729854537978184e-09,3
0.19481645114690682,0.0009033910916876968,0.004649722937289389,2.8802554253135178e-05,4.028712999774483e-09,2.696001946562898e-07,-9.74017521675631e-09,3
