hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
0.15925904138746552,3.223606590949646e-05,1.3516929632233783e-10,3.7761720856565114e-14,-7.859489562325105e-26,-1.895173055251841e-16,-3.31843323503772e-26,1
0.1924931316952067,1.35434902523936e-05,0.004562786049718964,3.5726627471824196e-07,5.53387635704458e-13,5.481213142381957e-11,-1.4413957898480835e-11,3
0.193071148155398,0.00025024480021496574,0.00457960889215016,8.047997612389264e-06,7.374312561122632e-10,5.58154733720204e-08,-1.3577231627630578e-09,3
0.19263428660680781,8.043775629974688e-05,0.004563422408077525,2.294573887547761e-06,-2.3428629023620147e-10,-2.0525477019386334e-08,-1.552590483099182e-11,3
0.15917065664427754,4.468203198219656e-06,1.0473987881944907e-09,4.3705414636516734e-14,-1.8744531055331756e-25,-6.191948344229233e-17,-2.2870460489865604e-25,1
0.1591758379063816,5.980492195255625e-06,9.041726629509226e-11,7.813666691517678e-15,-5.3812567987284654e-27,-1.6632238027899557e-17,-3.765063888807722e-27,1
0.16723988073524526,0.00019219131098732113,7.186531703732716e-13,7.959989373403978e-14,-1.8766155643137807e-26,-1.0971310441267329e-15,3.2075953459614796e-27,2
0.1925716077990867,0.0001359630677668437,0.004531962134491491,3.892863677319874e-06,-4.511561278106773e-10,-3.980318463077115e-08,-2.5261940591304805e-10,3
0.19309024627571364,0.00026841343265405495,0.004575427796372412,8.245068321608506e-06,-3.364143005664539e-11,-7.876091010756574e-09,-1.6010739551562555e-09,3
0.15953842783787459,0.00012085221022360552,2.8032383299094983e-09,2.8884566249912525e-12,-1.5881087866758992e-22,-2.0137078145272846e-14,2.057525614228252e-22,1
0.16670838519603798,2.043194671582306e-05,4.16771199362e-32,5.447618812962478e-31,8.208407649094792e-62,-1.7879975152926482e-33,0.0,2
0.1928482723088265,0.00016237378646686266,0.004572391555750198,5.416877977593111e-06,8.379339115933296e-10,6.78727903741799e-08,1.5692678635656074e-10,3
0.19268852722148422,0.00010564717256558781,0.004564571060067341,3.3109988911267814e-06,-2.1384272910813026e-10,-1.871453838321367e-08,-3.463436946240142e-10,3
